,best_fitness,fitness_evaluations,iterations,experiment,test_function
0,308.9963930705508,1,0,0,Sphere
1,271.310920514355,2,0,0,Sphere
2,194.4505479719214,3,0,0,Sphere
3,194.4505479719214,4,0,0,Sphere
4,194.4505479719214,5,0,0,Sphere
5,194.4505479719214,6,0,0,Sphere
6,194.4505479719214,7,0,0,Sphere
7,194.4505479719214,8,0,0,Sphere
8,194.4505479719214,9,0,0,Sphere
9,194.4505479719214,10,0,0,Sphere
10,194.4505479719214,11,0,0,Sphere
11,194.4505479719214,12,0,0,Sphere
12,194.4505479719214,13,0,0,Sphere
13,194.4505479719214,14,0,0,Sphere
14,194.4505479719214,15,0,0,Sphere
15,194.4505479719214,16,0,0,Sphere
16,174.84515200694392,17,0,0,Sphere
17,174.84515200694392,18,0,0,Sphere
18,174.84515200694392,19,0,0,Sphere
19,174.84515200694392,20,0,0,Sphere
20,174.84515200694392,21,0,0,Sphere
21,174.84515200694392,22,0,0,Sphere
22,174.84515200694392,23,0,0,Sphere
23,174.84515200694392,24,0,0,Sphere
24,174.84515200694392,25,0,0,Sphere
25,174.84515200694392,26,0,0,Sphere
26,174.84515200694392,27,0,0,Sphere
27,174.84515200694392,28,0,0,Sphere
28,174.84515200694392,29,0,0,Sphere
29,174.84515200694392,30,0,0,Sphere
30,174.84515200694392,31,1,0,Sphere
31,174.84515200694392,32,1,0,Sphere
32,174.84515200694392,33,1,0,Sphere
33,174.84515200694392,34,1,0,Sphere
34,174.84515200694392,35,1,0,Sphere
35,174.84515200694392,36,1,0,Sphere
36,174.84515200694392,37,1,0,Sphere
37,174.84515200694392,38,1,0,Sphere
38,174.84515200694392,39,1,0,Sphere
39,174.84515200694392,40,1,0,Sphere
40,174.84515200694392,41,1,0,Sphere
41,174.84515200694392,42,1,0,Sphere
42,174.84515200694392,43,1,0,Sphere
43,174.84515200694392,44,1,0,Sphere
44,174.84515200694392,45,1,0,Sphere
45,174.84515200694392,46,1,0,Sphere
46,174.84515200694392,47,1,0,Sphere
47,118.08370533744264,48,1,0,Sphere
48,118.08370533744264,49,1,0,Sphere
49,118.08370533744264,50,1,0,Sphere
50,118.08370533744264,51,1,0,Sphere
51,118.08370533744264,52,1,0,Sphere
52,118.08370533744264,53,1,0,Sphere
53,118.08370533744264,54,1,0,Sphere
54,118.08370533744264,55,1,0,Sphere
55,118.08370533744264,56,1,0,Sphere
56,118.08370533744264,57,1,0,Sphere
57,118.08370533744264,58,1,0,Sphere
58,107.12459425659026,59,1,0,Sphere
59,107.12459425659026,60,1,0,Sphere
60,216.61560291170412,1,0,1,Sphere
61,216.61560291170412,2,0,1,Sphere
62,216.61560291170412,3,0,1,Sphere
63,216.61560291170412,4,0,1,Sphere
64,216.61560291170412,5,0,1,Sphere
65,197.90544877053298,6,0,1,Sphere
66,197.90544877053298,7,0,1,Sphere
67,197.90544877053298,8,0,1,Sphere
68,197.90544877053298,9,0,1,Sphere
69,195.73203861520625,10,0,1,Sphere
70,195.73203861520625,11,0,1,Sphere
71,195.73203861520625,12,0,1,Sphere
72,195.73203861520625,13,0,1,Sphere
73,171.2890722264209,14,0,1,Sphere
74,171.2890722264209,15,0,1,Sphere
75,171.2890722264209,16,0,1,Sphere
76,171.2890722264209,17,0,1,Sphere
77,171.2890722264209,18,0,1,Sphere
78,171.2890722264209,19,0,1,Sphere
79,171.2890722264209,20,0,1,Sphere
80,171.2890722264209,21,0,1,Sphere
81,171.2890722264209,22,0,1,Sphere
82,171.2890722264209,23,0,1,Sphere
83,171.2890722264209,24,0,1,Sphere
84,171.2890722264209,25,0,1,Sphere
85,171.2890722264209,26,0,1,Sphere
86,171.2890722264209,27,0,1,Sphere
87,171.2890722264209,28,0,1,Sphere
88,171.2890722264209,29,0,1,Sphere
89,171.2890722264209,30,0,1,Sphere
90,171.2890722264209,31,1,1,Sphere
91,171.2890722264209,32,1,1,Sphere
92,106.53414671563303,33,1,1,Sphere
93,106.53414671563303,34,1,1,Sphere
94,106.53414671563303,35,1,1,Sphere
95,106.53414671563303,36,1,1,Sphere
96,106.53414671563303,37,1,1,Sphere
97,106.53414671563303,38,1,1,Sphere
98,106.53414671563303,39,1,1,Sphere
99,106.53414671563303,40,1,1,Sphere
100,106.53414671563303,41,1,1,Sphere
101,106.53414671563303,42,1,1,Sphere
102,106.53414671563303,43,1,1,Sphere
103,106.53414671563303,44,1,1,Sphere
104,106.53414671563303,45,1,1,Sphere
105,106.53414671563303,46,1,1,Sphere
